structure_id,formula,n_atoms,volume,a,b,c,alpha,beta,gamma,energy
60,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.52994694
61,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.04374718
62,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.12800055
63,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.92110601
64,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.025676
65,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.47132695
66,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-238.79029935
67,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.68066737
68,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.87662016
69,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.32367358
70,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.86411177
71,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.63312169
72,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.50444336
73,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.8557758
74,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.42328027
75,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-238.51123704
76,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.22844802
77,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-238.96992879
78,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.88579647
79,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.01714735
80,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.88314942
81,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.48113314
82,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-241.37449943
83,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.02551248
84,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.85283151
85,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.07062514
86,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.93938567
87,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.81173814
88,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.17445667
89,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.72523687
90,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.19918058
91,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.39764224
92,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-241.23065551
93,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.2045422
94,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.68976962
95,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.76611468
